post_number,date,week,cohort,author_account,platform,post_type,topic,cta,destination_path,utm_content,landing_variant,status
1,2026-08-13,1,cafe,Aditya Kolekar,LinkedIn,build_in_public,"Why we are testing cadence-based retention with café owners; frame it as a hypothesis and invite comments without a link",none — value only,,,,not_scheduled
2,2026-08-14,1,cafe,Churnary brand,LinkedIn + X repurpose,warning_sign,"Three observable signs a café regular may be drifting; avoid invented revenue or customer results",none — value only,,,,not_scheduled
3,2026-08-15,1,cafe,Riyan Anosh,LinkedIn,retention_calculation,"Walk through a clearly labeled sample: five-day visit rhythm moving to nine days","Try the free sample calculator","/customer-churn-risk-calculator",riyan_cafe_calculator_v1,calculator_v1,not_scheduled
4,2026-08-16,1,cafe,Churnary brand,LinkedIn + X repurpose,trust_guardrail,"Churnary proposes and a person approves; explain why human approval is a product requirement",none — value only,,,,not_scheduled
5,2026-08-17,1,cafe,Pranjal Mishra,LinkedIn,practical_education,"A spreadsheet exercise for comparing each regular's current gap with their own normal cadence",none — value only,,,,not_scheduled
6,2026-08-18,1,cafe,Churnary brand,LinkedIn + X repurpose,transparent_demo,"Show a labeled demo of a café risk reason and draft; state that it is sample data","See the café retention workflow","/coffee-shop-customer-retention",brand_cafe_demo_v1,coffee_v1,not_scheduled
7,2026-08-19,1,cafe,Soham Dogra,LinkedIn,build_in_public,"The questions we are asking café owners before claiming the workflow is useful; do not imply interviews occurred unless they did",none — value only,,,,not_scheduled
8,2026-08-20,2,salon,Soham Dogra,LinkedIn,warning_sign,"Why a blanket inactive window can miss a salon client's normal rebooking rhythm",none — value only,,,,not_scheduled
9,2026-08-21,2,salon,Churnary brand,LinkedIn + X repurpose,retention_calculation,"A clearly labeled sample comparing four-week and seasonal booking cadences","Estimate risk with the free calculator","/customer-churn-risk-calculator",brand_salon_calculator_v1,calculator_v1,not_scheduled
10,2026-08-22,2,salon,Aditya Kolekar,LinkedIn,practical_education,"How an owner can identify overdue rebooking without treating every client the same",none — value only,,,,not_scheduled
11,2026-08-23,2,salon,Churnary brand,LinkedIn + X repurpose,trust_privacy,"The minimum data a retention workflow needs and why sensitive personal details do not belong in outreach",none — value only,,,,not_scheduled
12,2026-08-24,2,salon,Pranjal Mishra,LinkedIn,transparent_demo,"Show a labeled salon booking-gap example and owner approval step","Get early access for a salon or barbershop","/salon-customer-retention",pranjal_salon_early_access_v1,salon_v1,not_scheduled
13,2026-08-25,2,salon,Churnary brand,LinkedIn + X repurpose,build_in_public,"What Churnary still needs to learn about salon retention; ask one focused question without a link",none — value only,,,,not_scheduled
14,2026-08-26,2,salon,Riyan Anosh,LinkedIn,owner_question,"Ask owners which signal is useful before a missed rebooking; report replies later only with permission and without inventing consensus",none — value only,,,,not_scheduled
15,2026-08-27,3,gym,Aditya Kolekar,LinkedIn,retention_calculation,"A labeled sample showing a steady weekly routine softening over several weeks","Try the free customer-risk calculator","/customer-churn-risk-calculator",aditya_gym_calculator_v1,calculator_v1,not_scheduled
16,2026-08-28,3,gym,Churnary brand,LinkedIn + X repurpose,warning_sign,"Three signals to examine before a gym member cancels; distinguish visits from payments",none — value only,,,,not_scheduled
17,2026-08-29,3,gym,Riyan Anosh,LinkedIn,practical_education,"Why an occasional member and a weekly regular need different baselines",none — value only,,,,not_scheduled
18,2026-08-30,3,gym,Churnary brand,LinkedIn + X repurpose,transparent_demo,"Show a labeled gym risk explanation and a draft that still requires approval","See the gym retention workflow","/gym-member-retention",brand_gym_demo_v1,gym_v1,not_scheduled
19,2026-08-31,3,gym,Pranjal Mishra,LinkedIn,trust_guardrail,"Why a churn score should include a plain-language reason and never trigger an automatic send",none — value only,,,,not_scheduled
20,2026-09-01,3,gym,Churnary brand,LinkedIn + X repurpose,build_in_public,"The evidence threshold Churnary will require before publishing a customer outcome",none — value only,,,,not_scheduled
21,2026-09-02,3,gym,Soham Dogra,LinkedIn,pilot_invitation,"Invite gym and studio owners to challenge the early workflow; promise feedback access rather than results","Get early access or request a 15-minute feedback call","/gym-member-retention",soham_gym_early_access_v1,gym_v1,not_scheduled
22,2026-09-03,4,winning_vertical,Soham Dogra,LinkedIn,observed_learning,"Share one verified aggregate funnel observation from weeks 1–3 or state that the sample is still too small; never identify a prospect",none — value only,,,,not_scheduled
23,2026-09-04,4,winning_vertical,Churnary brand,LinkedIn + X repurpose,warning_sign,"The most relevant observable drift signal for the eligible winning vertical; if none qualified compare all three without naming a winner",none — value only,,,,not_scheduled
24,2026-09-05,4,winning_vertical,Riyan Anosh,LinkedIn,retention_calculation,"Adapt one clearly labeled calculator walkthrough to the eligible winner or use a cross-vertical example if no vertical qualified","Try the free sample calculator","/customer-churn-risk-calculator",riyan_winner_calculator_v1,calculator_v1,not_scheduled
25,2026-09-06,4,winning_vertical,Churnary brand,LinkedIn + X repurpose,build_in_public,"What changed after three cohort weeks; cite only shipped product changes or verified aggregate activity",none — value only,,,,not_scheduled
26,2026-09-08,4,winning_vertical,Pranjal Mishra,LinkedIn,transparent_demo,"A before-and-after workflow using labeled sample inputs: raw cadence to explanation to human-approved draft",none — value only,,,,not_scheduled
27,2026-09-09,4,winning_vertical,Churnary brand,LinkedIn + X repurpose,pilot_invitation,"Explain who early access is for and who it is not for; keep the claim to product capabilities","Get early access","/",brand_winner_early_access_v1,home_v1,not_scheduled
28,2026-09-10,4,winning_vertical,Aditya Kolekar,LinkedIn,build_in_public,"Sprint reflection: disclose observed totals and uncertainty; ask owners what Churnary should test next",none — value only,,,,not_scheduled
